message,label
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
क्या आज मिल सकते हैं?,ham
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
দয়া করে আপনার KYC আপডেট করুন।,fraud
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
इस कोड से फ्री रिचार्ज पाएं।,spam
Call me when you're done.,ham
Don't forget the meeting at 5 PM.,ham
Hurry! Limited-time offer on electronics.,spam
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
क्लास कब खत्म होगी?,ham
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
Hurry! Limited-time offer on electronics.,spam
ক্লাস কখন শেষ হবে?,ham
Get free recharge using this code.,spam
Don't forget the meeting at 5 PM.,ham
Don't forget the meeting at 5 PM.,ham
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
"Work from home and earn ₹50,000 per week.",scam
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
Are you free for dinner tonight?,ham
Hurry! Limited-time offer on electronics.,spam
"Work from home and earn ₹50,000 per week.",scam
Flat 50% off on shoes. Shop now!,spam
इस कोड से फ्री रिचार्ज पाएं।,spam
"Work from home and earn ₹50,000 per week.",scam
जूते पर 60% की छूट!,spam
Are you free for dinner tonight?,ham
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
क्लास कब खत्म होगी?,ham
Hurry! Limited-time offer on electronics.,spam
क्लास कब खत्म होगी?,ham
আমার সাথে একটু দেখা করবি?,ham
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
Hurry! Limited-time offer on electronics.,spam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
We detected unusual activity. Click to secure your account.,fraud
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"You've won a lottery of ₹1,00,000. Claim now!",scam
"Work from home and earn ₹50,000 per week.",scam
Get a free iPhone now by clicking this link!,scam
Your bank account is at risk. Verify now.,fraud
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
"সীমিত সময়ের অফার, মিস করবেন না!",spam
क्लास कब खत्म होगी?,ham
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
Don't forget the meeting at 5 PM.,ham
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
Final warning: Your card will be blocked. Act now.,fraud
"সীমিত সময়ের অফার, মিস করবেন না!",spam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
जूते पर 60% की छूट!,spam
क्लास कब खत्म होगी?,ham
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
इस कोड से फ्री रिचार्ज पाएं।,spam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
আমার সাথে একটু দেখা করবি?,ham
Hurry! Limited-time offer on electronics.,spam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
क्या आज मिल सकते हैं?,ham
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
मम्मी ने दवाई लाने को कहा है।,ham
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
ক্লাস কখন শেষ হবে?,ham
क्या आज मिल सकते हैं?,ham
"Work from home and earn ₹50,000 per week.",scam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
क्या आज मिल सकते हैं?,ham
क्या आज मिल सकते हैं?,ham
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
"You've won a lottery of ₹1,00,000. Claim now!",scam
Don't forget the meeting at 5 PM.,ham
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
जूते पर 60% की छूट!,spam
দয়া করে আপনার KYC আপডেট করুন।,fraud
Final warning: Your card will be blocked. Act now.,fraud
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
Hurry! Limited-time offer on electronics.,spam
Are you free for dinner tonight?,ham
मम्मी ने दवाई लाने को कहा है।,ham
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
Call me when you're done.,ham
Your bank account is at risk. Verify now.,fraud
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
ক্লাস কখন শেষ হবে?,ham
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
Flat 50% off on shoes. Shop now!,spam
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
क्लास कब खत्म होगी?,ham
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
क्या आज मिल सकते हैं?,ham
Don't forget the meeting at 5 PM.,ham
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
আমার সাথে একটু দেখা করবি?,ham
"সীমিত সময়ের অফার, মিস করবেন না!",spam
Get free recharge using this code.,spam
"You've won a lottery of ₹1,00,000. Claim now!",scam
"You've won a lottery of ₹1,00,000. Claim now!",scam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
"Work from home and earn ₹50,000 per week.",scam
Are you free for dinner tonight?,ham
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
Hurry! Limited-time offer on electronics.,spam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
मम्मी ने दवाई लाने को कहा है।,ham
আমার সাথে একটু দেখা করবি?,ham
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
Are you free for dinner tonight?,ham
क्या आज मिल सकते हैं?,ham
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
क्लास कब खत्म होगी?,ham
क्या आज मिल सकते हैं?,ham
इस कोड से फ्री रिचार्ज पाएं।,spam
দয়া করে আপনার KYC আপডেট করুন।,fraud
यह ऑफर सीमित समय के लिए है।,spam
क्या आज मिल सकते हैं?,ham
আমার সাথে একটু দেখা করবি?,ham
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
Final warning: Your card will be blocked. Act now.,fraud
क्या आज मिल सकते हैं?,ham
इस कोड से फ्री रिचार्ज पाएं।,spam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
We detected unusual activity. Click to secure your account.,fraud
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
जूते पर 60% की छूट!,spam
जूते पर 60% की छूट!,spam
क्लास कब खत्म होगी?,ham
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
Get a free iPhone now by clicking this link!,scam
क्लास कब खत्म होगी?,ham
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
"You've won a lottery of ₹1,00,000. Claim now!",scam
We detected unusual activity. Click to secure your account.,fraud
Are you free for dinner tonight?,ham
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
Are you free for dinner tonight?,ham
Your bank account is at risk. Verify now.,fraud
जूते पर 60% की छूट!,spam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
দয়া করে আপনার KYC আপডেট করুন।,fraud
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
Don't forget the meeting at 5 PM.,ham
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
मम्मी ने दवाई लाने को कहा है।,ham
क्या आज मिल सकते हैं?,ham
Get free recharge using this code.,spam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
Are you free for dinner tonight?,ham
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
जूते पर 60% की छूट!,spam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
जूते पर 60% की छूट!,spam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
Are you free for dinner tonight?,ham
Your bank account is at risk. Verify now.,fraud
Call me when you're done.,ham
Don't forget the meeting at 5 PM.,ham
আমার সাথে একটু দেখা করবি?,ham
मम्मी ने दवाई लाने को कहा है।,ham
Get a free iPhone now by clicking this link!,scam
मम्मी ने दवाई लाने को कहा है।,ham
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
"Work from home and earn ₹50,000 per week.",scam
Don't forget the meeting at 5 PM.,ham
इस कोड से फ्री रिचार्ज पाएं।,spam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
We detected unusual activity. Click to secure your account.,fraud
"সীমিত সময়ের অফার, মিস করবেন না!",spam
Get a free iPhone now by clicking this link!,scam
"Work from home and earn ₹50,000 per week.",scam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
Flat 50% off on shoes. Shop now!,spam
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
Final warning: Your card will be blocked. Act now.,fraud
मम्मी ने दवाई लाने को कहा है।,ham
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
इस कोड से फ्री रिचार्ज पाएं।,spam
Your bank account is at risk. Verify now.,fraud
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
यह ऑफर सीमित समय के लिए है।,spam
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
इस कोड से फ्री रिचार्ज पाएं।,spam
Flat 50% off on shoes. Shop now!,spam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
Flat 50% off on shoes. Shop now!,spam
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
Get a free iPhone now by clicking this link!,scam
Don't forget the meeting at 5 PM.,ham
"সীমিত সময়ের অফার, মিস করবেন না!",spam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
Hurry! Limited-time offer on electronics.,spam
"Work from home and earn ₹50,000 per week.",scam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
We detected unusual activity. Click to secure your account.,fraud
দয়া করে আপনার KYC আপডেট করুন।,fraud
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
यह ऑफर सीमित समय के लिए है।,spam
जूते पर 60% की छूट!,spam
क्लास कब खत्म होगी?,ham
Are you free for dinner tonight?,ham
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
Don't forget the meeting at 5 PM.,ham
"You've won a lottery of ₹1,00,000. Claim now!",scam
Flat 50% off on shoes. Shop now!,spam
Don't forget the meeting at 5 PM.,ham
Get free recharge using this code.,spam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
Flat 50% off on shoes. Shop now!,spam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
Hurry! Limited-time offer on electronics.,spam
Final warning: Your card will be blocked. Act now.,fraud
আমার সাথে একটু দেখা করবি?,ham
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
यह ऑफर सीमित समय के लिए है।,spam
"Work from home and earn ₹50,000 per week.",scam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
আমার সাথে একটু দেখা করবি?,ham
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
Get a free iPhone now by clicking this link!,scam
Final warning: Your card will be blocked. Act now.,fraud
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
Get free recharge using this code.,spam
क्लास कब खत्म होगी?,ham
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
"You've won a lottery of ₹1,00,000. Claim now!",scam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
"You've won a lottery of ₹1,00,000. Claim now!",scam
क्लास कब खत्म होगी?,ham
"সীমিত সময়ের অফার, মিস করবেন না!",spam
क्लास कब खत्म होगी?,ham
Flat 50% off on shoes. Shop now!,spam
Your bank account is at risk. Verify now.,fraud
Don't forget the meeting at 5 PM.,ham
ক্লাস কখন শেষ হবে?,ham
ক্লাস কখন শেষ হবে?,ham
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
यह ऑफर सीमित समय के लिए है।,spam
मम्मी ने दवाई लाने को कहा है।,ham
Don't forget the meeting at 5 PM.,ham
Get a free iPhone now by clicking this link!,scam
Final warning: Your card will be blocked. Act now.,fraud
ক্লাস কখন শেষ হবে?,ham
Hurry! Limited-time offer on electronics.,spam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
We detected unusual activity. Click to secure your account.,fraud
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
इस कोड से फ्री रिचार्ज पाएं।,spam
আমার সাথে একটু দেখা করবি?,ham
Call me when you're done.,ham
क्या आज मिल सकते हैं?,ham
जूते पर 60% की छूट!,spam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
We detected unusual activity. Click to secure your account.,fraud
আমার সাথে একটু দেখা করবি?,ham
Are you free for dinner tonight?,ham
क्या आज मिल सकते हैं?,ham
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
Final warning: Your card will be blocked. Act now.,fraud
Get a free iPhone now by clicking this link!,scam
क्या आज मिल सकते हैं?,ham
Flat 50% off on shoes. Shop now!,spam
Your bank account is at risk. Verify now.,fraud
"সীমিত সময়ের অফার, মিস করবেন না!",spam
Don't forget the meeting at 5 PM.,ham
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
मम्मी ने दवाई लाने को कहा है।,ham
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
Final warning: Your card will be blocked. Act now.,fraud
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
"সীমিত সময়ের অফার, মিস করবেন না!",spam
"Work from home and earn ₹50,000 per week.",scam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
"Work from home and earn ₹50,000 per week.",scam
Final warning: Your card will be blocked. Act now.,fraud
Flat 50% off on shoes. Shop now!,spam
দয়া করে আপনার KYC আপডেট করুন।,fraud
Final warning: Your card will be blocked. Act now.,fraud
यह ऑफर सीमित समय के लिए है।,spam
Hurry! Limited-time offer on electronics.,spam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
Are you free for dinner tonight?,ham
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
जूते पर 60% की छूट!,spam
Final warning: Your card will be blocked. Act now.,fraud
দয়া করে আপনার KYC আপডেট করুন।,fraud
Final warning: Your card will be blocked. Act now.,fraud
Hurry! Limited-time offer on electronics.,spam
मम्मी ने दवाई लाने को कहा है।,ham
इस कोड से फ्री रिचार्ज पाएं।,spam
Don't forget the meeting at 5 PM.,ham
मम्मी ने दवाई लाने को कहा है।,ham
यह ऑफर सीमित समय के लिए है।,spam
Hurry! Limited-time offer on electronics.,spam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
क्या आज मिल सकते हैं?,ham
मम्मी ने दवाई लाने को कहा है।,ham
Call me when you're done.,ham
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
Final warning: Your card will be blocked. Act now.,fraud
मम्मी ने दवाई लाने को कहा है।,ham
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
We detected unusual activity. Click to secure your account.,fraud
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
"Work from home and earn ₹50,000 per week.",scam
Your bank account is at risk. Verify now.,fraud
দয়া করে আপনার KYC আপডেট করুন।,fraud
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
Your bank account is at risk. Verify now.,fraud
আমার সাথে একটু দেখা করবি?,ham
Final warning: Your card will be blocked. Act now.,fraud
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
"You've won a lottery of ₹1,00,000. Claim now!",scam
इस कोड से फ्री रिचार्ज पाएं।,spam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
Hurry! Limited-time offer on electronics.,spam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
इस कोड से फ्री रिचार्ज पाएं।,spam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
দয়া করে আপনার KYC আপডেট করুন।,fraud
Get a free iPhone now by clicking this link!,scam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
Final warning: Your card will be blocked. Act now.,fraud
"You've won a lottery of ₹1,00,000. Claim now!",scam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
क्लास कब खत्म होगी?,ham
Final warning: Your card will be blocked. Act now.,fraud
Call me when you're done.,ham
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
Final warning: Your card will be blocked. Act now.,fraud
Get free recharge using this code.,spam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
Are you free for dinner tonight?,ham
क्लास कब खत्म होगी?,ham
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
"You've won a lottery of ₹1,00,000. Claim now!",scam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
ক্লাস কখন শেষ হবে?,ham
Call me when you're done.,ham
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
Flat 50% off on shoes. Shop now!,spam
मम्मी ने दवाई लाने को कहा है।,ham
Flat 50% off on shoes. Shop now!,spam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
ক্লাস কখন শেষ হবে?,ham
"You've won a lottery of ₹1,00,000. Claim now!",scam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
क्लास कब खत्म होगी?,ham
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
Get a free iPhone now by clicking this link!,scam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
দয়া করে আপনার KYC আপডেট করুন।,fraud
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
मम्मी ने दवाई लाने को कहा है।,ham
Are you free for dinner tonight?,ham
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
Are you free for dinner tonight?,ham
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
Flat 50% off on shoes. Shop now!,spam
